Measure_seaMeanlevel,date,Value_seaMeanlevel
Persian Gulf,2003-11-07,96.71
Arabian Sea,2003-11-14,-1.36
Atlantic Ocean,2003-11-14,33.0
Baltic Sea,2003-11-14,-48.46
Bay Bengal,2003-11-14,18.1
Bering Sea,2003-11-14,16.86
Caribbean Sea,2003-11-14,57.47
Gulf Mexico,2003-11-14,104.68
Indian Ocean,2003-11-14,2.25
Indonesian,2003-11-14,-6.73
Mediterranean,2003-11-14,68.68
Nino,2003-11-14,37.74
North Atlantic,2003-11-14,62.02
North Pacific,2003-11-14,54.77
Pacific Ocean,2003-11-14,8.11
Sea Japan,2003-11-14,105.89
Sea Okhotsk,2003-11-14,-12.34
South China,2003-11-14,73.15
Southern Ocean,2003-11-14,-5.67
Tropics,2003-11-14,16.29
World,2003-11-14,16.63
Adriatic Sea,2003-11-14,65.66
Andaman Sea,2003-11-14,71.74
Persian Gulf,2003-11-14,81.91
South China,2003-11-14,85.02
Andaman Sea,2003-11-15,73.85
North Sea,2003-11-15,67.2
Persian Gulf,2003-11-15,52.84
Yellow Sea,2003-11-15,99.88
Arabian Sea,2003-11-15,-9.5
Atlantic Ocean,2003-11-15,35.15
Baltic Sea,2003-11-15,-40.6
Bay Bengal,2003-11-15,7.95
Bering Sea,2003-11-15,19.14
Caribbean Sea,2003-11-15,63.11
Gulf Mexico,2003-11-15,105.7
Indian Ocean,2003-11-15,1.12
Indonesian,2003-11-15,-15.12
Mediterranean,2003-11-15,60.03
Nino,2003-11-15,33.65
North Atlantic,2003-11-15,56.77
North Pacific,2003-11-15,50.85
Pacific Ocean,2003-11-15,5.14
Sea Japan,2003-11-15,117.98
Sea Okhotsk,2003-11-15,-21.54
Southern Ocean,2003-11-15,-4.32
Tropics,2003-11-15,13.14
World,2003-11-15,14.62
Yellow Sea,2003-11-15,89.26
Adriatic Sea,2003-11-16,41.89
North Sea,2003-11-16,63.21
Adriatic Sea,2003-11-23,-10.64
Mediterranean,2003-11-24,-7.57
Persian Gulf,2003-11-24,57.91
South China,2003-11-24,105.12
Andaman Sea,2003-11-25,55.14
Arabian Sea,2003-11-25,-27.1
Atlantic Ocean,2003-11-25,24.45
Bay Bengal,2003-11-25,11.35
Bering Sea,2003-11-25,8.44
Caribbean Sea,2003-11-25,35.81
Indian Ocean,2003-11-25,4.82
Indonesian,2003-11-25,-9.12
Nino,2003-11-25,34.95
North Atlantic,2003-11-25,29.37
North Pacific,2003-11-25,55.05
North Sea,2003-11-25,-9.49
Pacific Ocean,2003-11-25,11.54
Sea Japan,2003-11-25,150.78
Sea Okhotsk,2003-11-25,8.76
Southern Ocean,2003-11-25,8.38
Tropics,2003-11-25,12.14
World,2003-11-25,15.42
Yellow Sea,2003-11-25,131.56
Baltic Sea,2003-11-26,-27.6
Gulf Mexico,2003-11-26,64.2
Adriatic Sea,2003-11-29,55.99
Arabian Sea,2003-11-29,-2.96
Atlantic Ocean,2003-11-29,25.7
Baltic Sea,2003-11-29,-11.66
Bay Bengal,2003-11-29,32.5
Bering Sea,2003-11-29,-18.64
Caribbean Sea,2003-11-29,34.67
Gulf Mexico,2003-11-29,46.58
Indian Ocean,2003-11-29,-4.55
Indonesian,2003-11-29,-2.73
Mediterranean,2003-11-29,28.58
Nino,2003-11-29,40.94
North Atlantic,2003-11-29,33.22
North Pacific,2003-11-29,46.37
North Sea,2003-11-29,-79.8
Pacific Ocean,2003-11-29,7.71
Sea Japan,2003-11-29,106.79
Sea Okhotsk,2003-11-29,-13.64
South China,2003-11-29,137.45
Southern Ocean,2003-11-29,-0.27
Tropics,2003-11-29,13.29
World,2003-11-29,12.93
Yellow Sea,2003-11-29,104.28
Sea Japan,2003-12-04,108.99
Sea Okhotsk,2003-12-04,-35.94
Adriatic Sea,2003-12-04,86.66
Bay Bengal,2003-12-04,12.55
Mediterranean,2003-12-04,77.93
South China,2003-12-04,134.82
Andaman Sea,2003-12-05,51.75
Arabian Sea,2003-12-05,7.24
Atlantic Ocean,2003-12-05,23.3
Baltic Sea,2003-12-05,-25.86
Bay Bengal,2003-12-05,14.5
Bering Sea,2003-12-05,-52.54
Caribbean Sea,2003-12-05,38.47
Gulf Mexico,2003-12-05,29.98
Indian Ocean,2003-12-05,-0.25
Indonesian,2003-12-05,20.17
Mediterranean,2003-12-05,76.38
Nino,2003-12-05,39.94
North Atlantic,2003-12-05,36.02
North Pacific,2003-12-05,39.27
North Sea,2003-12-05,70.4
Pacific Ocean,2003-12-05,16.01
Persian Gulf,2003-12-05,61.84
South China,2003-12-05,114.75
Southern Ocean,2003-12-05,5.73
Tropics,2003-12-05,16.89
World,2003-12-05,17.23
Yellow Sea,2003-12-05,58.08
Andaman Sea,2003-12-05,49.74
Arabian Sea,2003-12-05,-9.9
Atlantic Ocean,2003-12-05,25.85
Baltic Sea,2003-12-05,-23.4
Bering Sea,2003-12-05,-49.46
Caribbean Sea,2003-12-05,32.01
Gulf Mexico,2003-12-05,32.7
Indian Ocean,2003-12-05,5.32
Indonesian,2003-12-05,18.78
Nino,2003-12-05,41.45
North Atlantic,2003-12-05,36.87
North Pacific,2003-12-05,45.25
North Sea,2003-12-05,48.91
Pacific Ocean,2003-12-05,16.54
Sea Japan,2003-12-05,127.48
Sea Okhotsk,2003-12-05,-32.34
Southern Ocean,2003-12-05,9.58
Tropics,2003-12-05,16.94
World,2003-12-05,18.82
Yellow Sea,2003-12-05,67.86
Adriatic Sea,2003-12-06,121.69
Persian Gulf,2003-12-06,63.71
Andaman Sea,2003-12-13,52.94
Andaman Sea,2003-12-14,53.95
Bering Sea,2003-12-14,-10.24
Sea Japan,2003-12-14,1.69
Sea Okhotsk,2003-12-14,-49.64
Adriatic Sea,2003-12-14,71.96
Arabian Sea,2003-12-14,-24.8
Gulf Mexico,2003-12-14,29.3
Indonesian,2003-12-14,51.58
Sea Okhotsk,2003-12-14,-35.44
South China,2003-12-14,148.62
Arabian Sea,2003-12-15,-10.46
Atlantic Ocean,2003-12-15,25.9
Baltic Sea,2003-12-15,11.64
Bay Bengal,2003-12-15,21.7
Caribbean Sea,2003-12-15,56.27
Gulf Mexico,2003-12-15,14.38
Indian Ocean,2003-12-15,-2.05
Indonesian,2003-12-15,50.37
Mediterranean,2003-12-15,35.18
Nino,2003-12-15,33.94
North Atlantic,2003-12-15,34.02
North Pacific,2003-12-15,21.67
North Sea,2003-12-15,221.2
Pacific Ocean,2003-12-15,12.71
Persian Gulf,2003-12-15,38.54
South China,2003-12-15,129.85
Southern Ocean,2003-12-15,3.43
Tropics,2003-12-15,17.79
World,2003-12-15,15.83
Yellow Sea,2003-12-15,-45.52
Atlantic Ocean,2003-12-15,35.45
Baltic Sea,2003-12-15,14.3
Bay Bengal,2003-12-15,14.85
Bering Sea,2003-12-15,-0.36
Caribbean Sea,2003-12-15,43.21
Indian Ocean,2003-12-15,3.62
Mediterranean,2003-12-15,53.13
Nino,2003-12-15,36.25
North Atlantic,2003-12-15,41.47
North Pacific,2003-12-15,30.75
North Sea,2003-12-15,214.81
Pacific Ocean,2003-12-15,18.54
Sea Japan,2003-12-15,25.18
Southern Ocean,2003-12-15,13.08
Tropics,2003-12-15,21.64
World,2003-12-15,21.82
Yellow Sea,2003-12-15,-45.54
Adriatic Sea,2003-12-16,26.99
Persian Gulf,2003-12-17,48.11
Andaman Sea,2003-12-24,39.65
Gulf Mexico,2003-12-24,-11.72
Mediterranean,2003-12-24,11.68
Sea Japan,2003-12-24,-47.41
Sea Okhotsk,2003-12-24,5.56
Adriatic Sea,2003-12-24,59.26
Andaman Sea,2003-12-24,64.14
Baltic Sea,2003-12-24,190.2
Gulf Mexico,2003-12-24,16.8
Indonesian,2003-12-24,66.78
Mediterranean,2003-12-24,16.73
Sea Japan,2003-12-24,-21.42
Sea Okhotsk,2003-12-24,23.96
South China,2003-12-24,80.72
Arabian Sea,2003-12-25,-0.46
Atlantic Ocean,2003-12-25,15.1
Baltic Sea,2003-12-25,193.24
Bay Bengal,2003-12-25,20.3
Bering Sea,2003-12-25,19.46
Caribbean Sea,2003-12-25,34.97
Indian Ocean,2003-12-25,-4.75
Indonesian,2003-12-25,57.87
Nino,2003-12-25,26.94
North Atlantic,2003-12-25,16.62
North Pacific,2003-12-25,7.77
North Sea,2003-12-25,53.0
Pacific Ocean,2003-12-25,12.11
Persian Gulf,2003-12-25,72.94
South China,2003-12-25,56.85
Southern Ocean,2003-12-25,3.63
Tropics,2003-12-25,14.19
World,2003-12-25,11.43
Yellow Sea,2003-12-25,-79.72
Arabian Sea,2003-12-25,4.6
Atlantic Ocean,2003-12-25,25.75
Bay Bengal,2003-12-25,14.85
Bering Sea,2003-12-25,26.04
Caribbean Sea,2003-12-25,41.41
Indian Ocean,2003-12-25,2.82
Nino,2003-12-25,32.45
North Atlantic,2003-12-25,25.17
North Pacific,2003-12-25,15.75
North Sea,2003-12-25,44.81
Pacific Ocean,2003-12-25,21.14
Southern Ocean,2003-12-25,16.08
Tropics,2003-12-25,21.84
World,2003-12-25,20.42
Yellow Sea,2003-12-25,-79.14
Adriatic Sea,2003-12-26,31.79
Persian Gulf,2003-12-27,177.51
Adriatic Sea,2004-01-02,35.96
Andaman Sea,2004-01-03,-26.15
Baltic Sea,2004-01-03,176.74
Bay Bengal,2004-01-03,11.1
Gulf Mexico,2004-01-03,-9.02
Mediterranean,2004-01-03,19.88
Sea Japan,2004-01-03,-12.71
Sea Okhotsk,2004-01-03,32.56
Andaman Sea,2004-01-03,-41.46
Baltic Sea,2004-01-03,171.1
Bay Bengal,2004-01-03,10.55
Indonesian,2004-01-03,42.28
Mediterranean,2004-01-03,20.93
Sea Japan,2004-01-03,-13.12
Sea Okhotsk,2004-01-03,28.76
South China,2004-01-03,31.92
Arabian Sea,2004-01-04,20.04
Atlantic Ocean,2004-01-04,13.5
Bering Sea,2004-01-04,33.56
Caribbean Sea,2004-01-04,15.47
Indian Ocean,2004-01-04,2.65
Indonesian,2004-01-04,35.27
Nino,2004-01-04,18.64
North Atlantic,2004-01-04,3.72
North Pacific,2004-01-04,-4.73
North Sea,2004-01-04,-88.0
Pacific Ocean,2004-01-04,10.31
Persian Gulf,2004-01-04,100.04
South China,2004-01-04,22.35
Southern Ocean,2004-01-04,15.23
Tropics,2004-01-04,10.29
World,2004-01-04,10.83
Yellow Sea,2004-01-04,-45.82
Arabian Sea,2004-01-04,5.2
Atlantic Ocean,2004-01-04,16.25
Bering Sea,2004-01-04,28.04
Caribbean Sea,2004-01-04,17.31
Gulf Mexico,2004-01-04,17.1
Indian Ocean,2004-01-04,7.42
Nino,2004-01-04,20.45
North Atlantic,2004-01-04,-0.43
North Pacific,2004-01-04,-6.55
North Sea,2004-01-04,-84.49
Pacific Ocean,2004-01-04,11.04
Persian Gulf,2004-01-04,56.11
Southern Ocean,2004-01-04,20.78
Tropics,2004-01-04,10.94
World,2004-01-04,12.32
Yellow Sea,2004-01-04,-51.84
Adriatic Sea,2004-01-05,64.09
Bay Bengal,2004-01-12,5.65
Baltic Sea,2004-01-13,-66.36
Bay Bengal,2004-01-13,9.3
Bering Sea,2004-01-13,27.46
Gulf Mexico,2004-01-13,-6.92
Indonesian,2004-01-13,33.07
Mediterranean,2004-01-13,2.38
Persian Gulf,2004-01-13,99.74
Sea Japan,2004-01-13,38.49
Sea Okhotsk,2004-01-13,28.86
Adriatic Sea,2004-01-13,-13.44
Gulf Mexico,2004-01-13,-3.6
Indonesian,2004-01-13,33.08
Mediterranean,2004-01-13,-5.77
Sea Japan,2004-01-13,53.08
South China,2004-01-13,9.32
Arabian Sea,2004-01-14,29.64
Atlantic Ocean,2004-01-14,22.3
Caribbean Sea,2004-01-14,18.27
Indian Ocean,2004-01-14,21.25
Nino,2004-01-14,27.14
North Atlantic,2004-01-14,17.72
North Pacific,2004-01-14,-27.83
North Sea,2004-01-14,10.8
Pacific Ocean,2004-01-14,7.91
South China,2004-01-14,9.45
Southern Ocean,2004-01-14,23.23
Tropics,2004-01-14,16.59
World,2004-01-14,14.43
Yellow Sea,2004-01-14,-17.72
Arabian Sea,2004-01-14,12.5
Atlantic Ocean,2004-01-14,18.15
Baltic Sea,2004-01-14,-59.6
Bering Sea,2004-01-14,28.74
Caribbean Sea,2004-01-14,23.91
Indian Ocean,2004-01-14,11.92
Nino,2004-01-14,21.55
North Atlantic,2004-01-14,14.57
North Pacific,2004-01-14,-28.95
North Sea,2004-01-14,12.31
Pacific Ocean,2004-01-14,3.04
Sea Okhotsk,2004-01-14,18.26
Southern Ocean,2004-01-14,17.28
Tropics,2004-01-14,10.44
World,2004-01-14,8.92
Yellow Sea,2004-01-14,-27.94
Adriatic Sea,2004-01-15,-30.41
Persian Gulf,2004-01-15,82.61
Adriatic Sea,2004-01-22,8.86
Arabian Sea,2004-01-23,22.44
Baltic Sea,2004-01-23,-58.46
Bay Bengal,2004-01-23,30.9
Gulf Mexico,2004-01-23,-37.42
Indian Ocean,2004-01-23,29.65
Indonesian,2004-01-23,3.37
Mediterranean,2004-01-23,-24.82
Nino,2004-01-23,24.44
North Sea,2004-01-23,-12.7
Pacific Ocean,2004-01-23,5.61
Persian Gulf,2004-01-23,63.34
Sea Japan,2004-01-23,-19.91
Sea Okhotsk,2004-01-23,44.36
South China,2004-01-23,42.85
Southern Ocean,2004-01-23,30.83
Tropics,2004-01-23,12.19
World,2004-01-23,12.53
Andaman Sea,2004-01-23,-93.86
Arabian Sea,2004-01-23,12.6
Bay Bengal,2004-01-23,9.15
Gulf Mexico,2004-01-23,-44.3
Indian Ocean,2004-01-23,21.32
Indonesian,2004-01-23,-9.82
Mediterranean,2004-01-23,-27.57
Nino,2004-01-23,21.15
Sea Japan,2004-01-23,-25.72
Sea Okhotsk,2004-01-23,30.86
South China,2004-01-23,19.82
Tropics,2004-01-23,7.74
Yellow Sea,2004-01-23,-44.24
Atlantic Ocean,2004-01-24,19.1
Bering Sea,2004-01-24,14.46
Caribbean Sea,2004-01-24,-1.63
North Atlantic,2004-01-24,1.82
North Pacific,2004-01-24,-36.73
Yellow Sea,2004-01-24,-96.42
Atlantic Ocean,2004-01-24,13.75
Baltic Sea,2004-01-24,-71.0
Bering Sea,2004-01-24,14.04
Caribbean Sea,2004-01-24,-2.29
North Atlantic,2004-01-24,-0.83
North Pacific,2004-01-24,-37.85
North Sea,2004-01-24,-2.39
Pacific Ocean,2004-01-24,1.04
Southern Ocean,2004-01-24,20.68
World,2004-01-24,7.02
Adriatic Sea,2004-01-25,12.79
Persian Gulf,2004-01-25,56.11
Adriatic Sea,2004-01-31,16.76
Persian Gulf,2004-02-01,-17.69
Arabian Sea,2004-02-02,19.54
Baltic Sea,2004-02-02,-78.26
Bay Bengal,2004-02-02,-20.7
Bering Sea,2004-02-02,-32.94
Gulf Mexico,2004-02-02,-33.42
Indian Ocean,2004-02-02,28.95
Indonesian,2004-02-02,42.27
Mediterranean,2004-02-02,19.78
Nino,2004-02-02,14.74
Pacific Ocean,2004-02-02,4.21
Persian Gulf,2004-02-02,-1.86
Sea Japan,2004-02-02,-52.51
Sea Okhotsk,2004-02-02,5.96
South China,2004-02-02,-13.95
Southern Ocean,2004-02-02,35.73
Tropics,2004-02-02,6.79
World,2004-02-02,10.33
Arabian Sea,2004-02-02,13.4
Baltic Sea,2004-02-02,-55.5
Bering Sea,2004-02-02,-34.16
Caribbean Sea,2004-02-02,-0.29
Gulf Mexico,2004-02-02,-49.1
Indian Ocean,2004-02-02,27.42
Indonesian,2004-02-02,34.68
Mediterranean,2004-02-02,3.73
Nino,2004-02-02,12.05
North Pacific,2004-02-02,-40.25
Pacific Ocean,2004-02-02,3.84
Sea Japan,2004-02-02,-50.42
Sea Okhotsk,2004-02-02,2.06
South China,2004-02-02,-20.48
Southern Ocean,2004-02-02,30.78
Tropics,2004-02-02,6.24
World,2004-02-02,8.92
Atlantic Ocean,2004-02-03,15.0
Caribbean Sea,2004-02-03,-8.43
North Atlantic,2004-02-03,-14.78
North Pacific,2004-02-03,-45.33
North Sea,2004-02-03,50.1
Atlantic Ocean,2004-02-03,12.75
Bay Bengal,2004-02-03,-12.25
North Atlantic,2004-02-03,-17.23
North Sea,2004-02-03,52.71
Adriatic Sea,2004-02-04,34.09
Bay Bengal,2004-02-10,-56.1
Sea Japan,2004-02-10,-74.21
Arabian Sea,2004-02-11,4.84
Atlantic Ocean,2004-02-11,8.9
Baltic Sea,2004-02-11,144.64
Bering Sea,2004-02-11,-47.24
Caribbean Sea,2004-02-11,-13.73
Gulf Mexico,2004-02-11,-34.22
Indian Ocean,2004-02-11,2.35
Indonesian,2004-02-11,56.57
Mediterranean,2004-02-11,-76.42
Nino,2004-02-11,1.34
North Atlantic,2004-02-11,-28.88
North Pacific,2004-02-11,-45.53
North Sea,2004-02-11,86.6
Pacific Ocean,2004-02-11,4.61
Sea Okhotsk,2004-02-11,-32.24
South China,2004-02-11,40.15
Southern Ocean,2004-02-11,27.53
Tropics,2004-02-11,1.59
World,2004-02-11,3.83
Adriatic Sea,2004-02-11,-91.74
Adriatic Sea,2004-02-12,-62.91
Persian Gulf,2004-02-12,-35.76
Arabian Sea,2004-02-12,1.8
Baltic Sea,2004-02-12,154.0
Bay Bengal,2004-02-12,-44.35
Indian Ocean,2004-02-12,5.52
Indonesian,2004-02-12,58.18
Mediterranean,2004-02-12,-75.87
Nino,2004-02-12,13.45
North Pacific,2004-02-12,-31.35
Pacific Ocean,2004-02-12,16.14
Persian Gulf,2004-02-12,-56.89
Sea Japan,2004-02-12,-60.52
Sea Okhotsk,2004-02-12,-18.74
South China,2004-02-12,48.42
Southern Ocean,2004-02-12,32.98
Tropics,2004-02-12,12.14
World,2004-02-12,13.52
Atlantic Ocean,2004-02-13,18.85
Bering Sea,2004-02-13,-19.66
Caribbean Sea,2004-02-13,25.31
Gulf Mexico,2004-02-13,-55.8
North Atlantic,2004-02-13,-11.83
North Sea,2004-02-13,86.51
Adriatic Sea,2004-02-21,-29.24
Arabian Sea,2004-02-22,-12.7
Atlantic Ocean,2004-02-22,19.45
Baltic Sea,2004-02-22,51.9
Bay Bengal,2004-02-22,-66.85
Bering Sea,2004-02-22,2.34
Gulf Mexico,2004-02-22,-43.0
Indian Ocean,2004-02-22,1.02
Indonesian,2004-02-22,30.68
Mediterranean,2004-02-22,-42.47
Nino,2004-02-22,3.95
North Atlantic,2004-02-22,-16.33
North Pacific,2004-02-22,-29.35
North Sea,2004-02-22,51.21
Pacific Ocean,2004-02-22,15.04
Sea Japan,2004-02-22,-75.62
Sea Okhotsk,2004-02-22,15.46
South China,2004-02-22,-58.48
Southern Ocean,2004-02-22,31.18
Tropics,2004-02-22,7.54
World,2004-02-22,10.22
Persian Gulf,2004-02-23,-92.56
Sea Japan,2004-02-23,-74.11
Caribbean Sea,2004-02-23,1.71
Arabian Sea,2004-02-24,-20.56
Atlantic Ocean,2004-02-24,12.0
Baltic Sea,2004-02-24,7.64
Bay Bengal,2004-02-24,-59.0
Bering Sea,2004-02-24,-2.34
Caribbean Sea,2004-02-24,-2.53
Gulf Mexico,2004-02-24,-52.72
Indian Ocean,2004-02-24,-3.35
Indonesian,2004-02-24,35.17
Mediterranean,2004-02-24,-34.12
Nino,2004-02-24,8.84
North Atlantic,2004-02-24,-25.58
North Pacific,2004-02-24,-29.13
North Sea,2004-02-24,17.4
Pacific Ocean,2004-02-24,16.01
Sea Okhotsk,2004-02-24,14.76
South China,2004-02-24,-53.55
Southern Ocean,2004-02-24,27.83
Tropics,2004-02-24,6.39
World,2004-02-24,7.93
Adriatic Sea,2004-02-25,26.59
Adriatic Sea,2004-03-02,22.06
Arabian Sea,2004-03-03,3.14
Atlantic Ocean,2004-03-03,-1.3
Baltic Sea,2004-03-03,79.14
Bay Bengal,2004-03-03,-43.7
Bering Sea,2004-03-03,-14.84
Gulf Mexico,2004-03-03,-56.92
Indian Ocean,2004-03-03,18.05
Indonesian,2004-03-03,30.17
Mediterranean,2004-03-03,18.38
Nino,2004-03-03,8.04
North Atlantic,2004-03-03,-42.08
North Pacific,2004-03-03,-24.93
North Sea,2004-03-03,-25.3
Pacific Ocean,2004-03-03,12.91
Persian Gulf,2004-03-03,-84.96
Sea Japan,2004-03-03,-65.81
Sea Okhotsk,2004-03-03,14.56
South China,2004-03-03,3.35
Southern Ocean,2004-03-03,32.03
Tropics,2004-03-03,6.79
World,2004-03-03,8.53
Arabian Sea,2004-03-03,6.9
Atlantic Ocean,2004-03-03,-0.55
Baltic Sea,2004-03-03,79.2
Bay Bengal,2004-03-03,-43.85
Bering Sea,2004-03-03,-18.86
Gulf Mexico,2004-03-03,-50.3
Indian Ocean,2004-03-03,26.42
Indonesian,2004-03-03,32.78
Mediterranean,2004-03-03,18.53
Nino,2004-03-03,11.65
North Atlantic,2004-03-03,-45.43
North Pacific,2004-03-03,-19.35
Pacific Ocean,2004-03-03,16.94
Sea Japan,2004-03-03,-58.42
Sea Okhotsk,2004-03-03,35.86
South China,2004-03-03,-7.68
Southern Ocean,2004-03-03,35.48
Tropics,2004-03-03,10.64
World,2004-03-03,12.42
Adriatic Sea,2004-03-04,42.09
Caribbean Sea,2004-03-04,-29.83
Yellow Sea,2004-03-04,-91.32
Caribbean Sea,2004-03-04,-20.69
North Sea,2004-03-04,-38.19
Yellow Sea,2004-03-04,-86.14
Persian Gulf,2004-03-06,-41.49
Adriatic Sea,2004-03-11,13.96
Andaman Sea,2004-03-12,-83.76
Persian Gulf,2004-03-12,7.91
Arabian Sea,2004-03-13,27.74
Atlantic Ocean,2004-03-13,6.4
Baltic Sea,2004-03-13,-66.86
Bay Bengal,2004-03-13,-55.0
Bering Sea,2004-03-13,-42.34
Gulf Mexico,2004-03-13,-58.72
Indian Ocean,2004-03-13,21.75
Indonesian,2004-03-13,53.77
Mediterranean,2004-03-13,-34.72
Nino,2004-03-13,0.34
North Atlantic,2004-03-13,-31.88
North Pacific,2004-03-13,-37.13
North Sea,2004-03-13,-1.8
Pacific Ocean,2004-03-13,5.71
Persian Gulf,2004-03-13,-30.26
Sea Japan,2004-03-13,-73.91
Sea Okhotsk,2004-03-13,-9.84
South China,2004-03-13,8.15
Southern Ocean,2004-03-13,33.33
Tropics,2004-03-13,6.69
World,2004-03-13,7.43
Arabian Sea,2004-03-13,26.2
Atlantic Ocean,2004-03-13,3.45
Baltic Sea,2004-03-13,-74.3
Bay Bengal,2004-03-13,-44.25
Bering Sea,2004-03-13,-39.86
Caribbean Sea,2004-03-13,-16.69
Gulf Mexico,2004-03-13,-51.2
Indian Ocean,2004-03-13,16.72
Indonesian,2004-03-13,67.88
Mediterranean,2004-03-13,-43.57
Nino,2004-03-13,-5.65
North Atlantic,2004-03-13,-36.53
North Pacific,2004-03-13,-34.65
North Sea,2004-03-13,7.61
Pacific Ocean,2004-03-13,3.34
Sea Japan,2004-03-13,-67.62
Sea Okhotsk,2004-03-13,2.26
South China,2004-03-13,11.82
Southern Ocean,2004-03-13,29.68
Tropics,2004-03-13,3.44
World,2004-03-13,4.92
Yellow Sea,2004-03-13,-91.74
Adriatic Sea,2004-03-14,-29.61
Caribbean Sea,2004-03-14,-16.83
Yellow Sea,2004-03-14,-83.02
Sea Okhotsk,2004-03-22,-22.64
Adriatic Sea,2004-03-22,-94.54
Bay Bengal,2004-03-22,-31.85
South China,2004-03-22,-25.88
Andaman Sea,2004-03-23,-36.85
Arabian Sea,2004-03-23,33.84
Atlantic Ocean,2004-03-23,15.3
Baltic Sea,2004-03-23,-77.86
Bay Bengal,2004-03-23,-31.8
Bering Sea,2004-03-23,-41.04
Caribbean Sea,2004-03-23,-7.43
Gulf Mexico,2004-03-23,-21.52
Indian Ocean,2004-03-23,9.25
Indonesian,2004-03-23,65.07
Nino,2004-03-23,4.14
North Atlantic,2004-03-23,-20.18
North Pacific,2004-03-23,-46.53
North Sea,2004-03-23,-40.5
Pacific Ocean,2004-03-23,7.41
Persian Gulf,2004-03-23,-59.96
Sea Japan,2004-03-23,-71.61
South China,2004-03-23,-20.55
Southern Ocean,2004-03-23,25.43
Tropics,2004-03-23,12.79
World,2004-03-23,7.73
Andaman Sea,2004-03-23,-50.16
Arabian Sea,2004-03-23,22.5
Atlantic Ocean,2004-03-23,13.65
Baltic Sea,2004-03-23,-78.2
Bering Sea,2004-03-23,-34.36
Caribbean Sea,2004-03-23,-8.39
Gulf Mexico,2004-03-23,-15.0
Indian Ocean,2004-03-23,9.52
Indonesian,2004-03-23,71.38
Nino,2004-03-23,0.15
North Atlantic,2004-03-23,-21.13
North Pacific,2004-03-23,-46.65
North Sea,2004-03-23,-63.69
Pacific Ocean,2004-03-23,6.74
Persian Gulf,2004-03-23,-41.39
Sea Japan,2004-03-23,-66.32
Sea Okhotsk,2004-03-23,-16.54
Southern Ocean,2004-03-23,25.58
Tropics,2004-03-23,11.04
World,2004-03-23,7.02
Yellow Sea,2004-03-24,-68.82
Yellow Sea,2004-03-24,-60.54
Andaman Sea,2004-03-30,-35.65
Sea Japan,2004-03-31,-15.91
Sea Okhotsk,2004-03-31,-19.04
Arabian Sea,2004-04-01,27.44
Baltic Sea,2004-04-01,-66.66
Bering Sea,2004-04-01,-36.04
Gulf Mexico,2004-04-01,-50.52
Indian Ocean,2004-04-01,11.85
Indonesian,2004-04-01,58.77
Mediterranean,2004-04-01,-67.92
Nino,2004-04-01,7.64
North Pacific,2004-04-01,-38.73
Pacific Ocean,2004-04-01,19.31
Persian Gulf,2004-04-01,-51.76
Southern Ocean,2004-04-01,32.33
Tropics,2004-04-01,12.59
World,2004-04-01,9.63
Adriatic Sea,2004-04-01,-55.84
Adriatic Sea,2004-04-02,-26.61
Atlantic Ocean,2004-04-02,-2.7
Bay Bengal,2004-04-02,-21.1
Caribbean Sea,2004-04-02,-38.93
North Atlantic,2004-04-02,-45.18
South China,2004-04-02,-35.05
Yellow Sea,2004-04-02,-75.32
Andaman Sea,2004-04-02,-30.16
Arabian Sea,2004-04-02,29.4
Atlantic Ocean,2004-04-02,0.25
Bay Bengal,2004-04-02,-23.35
Bering Sea,2004-04-02,-33.46
Gulf Mexico,2004-04-02,-53.8
Indian Ocean,2004-04-02,19.52
Indonesian,2004-04-02,58.78
Mediterranean,2004-04-02,-58.07
Nino,2004-04-02,10.65
North Atlantic,2004-04-02,-45.63
North Pacific,2004-04-02,-39.85
Pacific Ocean,2004-04-02,22.44
Sea Japan,2004-04-02,-43.22
South China,2004-04-02,-20.38
Southern Ocean,2004-04-02,39.88
Tropics,2004-04-02,15.54
World,2004-04-02,13.52
Caribbean Sea,2004-04-03,-27.59
Persian Gulf,2004-04-03,-76.19
Sea Okhotsk,2004-04-03,-25.54
Yellow Sea,2004-04-03,-86.74
Adriatic Sea,2004-04-10,-33.04
Sea Japan,2004-04-11,-77.01
Andaman Sea,2004-04-12,-10.95
Arabian Sea,2004-04-12,44.14
Atlantic Ocean,2004-04-12,-7.0
Bay Bengal,2004-04-12,15.6
Bering Sea,2004-04-12,-16.04
Caribbean Sea,2004-04-12,-32.23
Gulf Mexico,2004-04-12,-30.62
Indian Ocean,2004-04-12,17.85
Indonesian,2004-04-12,12.07
Mediterranean,2004-04-12,-70.42
Nino,2004-04-12,1.54
North Atlantic,2004-04-12,-51.78
North Pacific,2004-04-12,-43.03
North Sea,2004-04-12,-82.1
Pacific Ocean,2004-04-12,14.61
Persian Gulf,2004-04-12,-75.26
Sea Okhotsk,2004-04-12,-42.84
South China,2004-04-12,-49.65
Southern Ocean,2004-04-12,33.23
Tropics,2004-04-12,9.29
World,2004-04-12,6.63
Yellow Sea,2004-04-12,-83.72
Andaman Sea,2004-04-12,-56.56
Arabian Sea,2004-04-12,38.2
Atlantic Ocean,2004-04-12,-0.35
Bay Bengal,2004-04-12,31.25
Bering Sea,2004-04-12,-28.76
Caribbean Sea,2004-04-12,-37.79
